Datetime,Close,High,Low,Open,Volume
2026-07-29 16:00:00-04:00,27259.25,27364.0,27201.5,27338.25,42409
2026-07-29 18:00:00-04:00,27451.5,27489.5,27202.0,27202.0,0
2026-07-29 19:00:00-04:00,27520.75,27559.25,27446.25,27449.5,12596
2026-07-29 20:00:00-04:00,27547.25,27611.0,27472.25,27521.75,16328
2026-07-29 21:00:00-04:00,27653.0,27696.75,27535.25,27547.25,13353
2026-07-29 22:00:00-04:00,27541.75,27687.5,27539.0,27652.0,9746
2026-07-29 23:00:00-04:00,27521.5,27576.25,27471.25,27542.0,9006
2026-07-30 00:00:00-04:00,27447.75,27543.75,27434.75,27507.5,6900
2026-07-30 01:00:00-04:00,27487.75,27546.25,27421.0,27446.25,7076
2026-07-30 02:00:00-04:00,27434.25,27507.0,27415.0,27487.0,5776
2026-07-30 03:00:00-04:00,27395.25,27521.75,27351.25,27433.75,12033
2026-07-30 04:00:00-04:00,27485.25,27527.25,27337.5,27394.5,9604
2026-07-30 05:00:00-04:00,27514.75,27586.0,27469.75,27486.0,7447
2026-07-30 06:00:00-04:00,27618.5,27648.0,27488.25,27515.5,9690
2026-07-30 07:00:00-04:00,27725.0,27745.25,27613.0,27619.0,12685
2026-07-30 08:00:00-04:00,27805.5,27821.75,27695.75,27723.5,19852
2026-07-30 09:00:00-04:00,28151.75,28162.25,27793.0,27807.0,107055
2026-07-30 10:00:00-04:00,28070.75,28246.5,28022.5,28150.5,118443
2026-07-30 11:00:00-04:00,28079.5,28137.75,27996.25,28071.5,79402
2026-07-30 12:00:00-04:00,28126.75,28192.75,28054.5,28078.75,51322
2026-07-30 13:00:00-04:00,28177.5,28208.5,28126.0,28127.0,37789
2026-07-30 14:00:00-04:00,28180.5,28205.0,28148.5,28177.5,28849
2026-07-30 15:00:00-04:00,28230.75,28297.75,28179.75,28180.75,78565
2026-07-30 16:00:00-04:00,28333.5,28414.5,28205.5,28230.75,32156
2026-07-30 18:00:00-04:00,28395.0,28413.75,28300.0,28317.0,0
2026-07-30 19:00:00-04:00,28422.75,28445.0,28362.25,28394.25,6690
