Date,Close,High,Low,Open,Volume
2023-10-02,15112.0,15160.25,14589.0,14965.0,3846180
2023-10-09,15120.25,15468.75,14949.5,15040.25,3405149
2023-10-16,14664.0,15336.75,14645.0,15120.0,4142867
2023-10-23,14265.25,14948.75,14140.25,14680.0,4059162
2023-10-30,15178.75,15228.5,14303.0,14336.0,3445598
2023-11-06,15596.25,15612.75,15138.0,15187.0,3019155
2023-11-13,15895.75,16049.5,15465.25,15586.25,3070988
2023-11-20,16021.0,16173.5,15837.25,15895.0,2680653
2023-11-27,16023.75,16208.5,15856.0,16008.0,3050933
2023-12-04,16098.25,16118.75,15721.25,16022.0,3301339
2023-12-11,16530.23046875,16674.5,16045.5,16093.0,1603452
2023-12-18,16980.0,17073.5,16758.5,16820.25,2740956
2023-12-25,17023.5,17165.25,16938.25,16964.5,1544958
2024-01-01,16460.25,17038.5,16334.25,17019.0,2516872
2024-01-08,16969.25,17057.0,16378.25,16470.0,3056410
2024-01-15,17438.5,17471.25,16689.25,16961.75,3742611
2024-01-22,17527.0,17793.5,17409.5,17466.0,3209231
2024-01-29,17732.75,17775.5,17221.5,17502.0,3405409
2024-02-05,18039.25,18071.0,17554.25,17696.0,2828805
2024-02-12,17744.0,18121.5,17542.0,18040.0,3486846
2024-02-19,17991.0,18144.75,17372.75,17729.25,3784327
2024-02-26,18338.25,18372.75,17826.0,17961.5,2967018
2024-03-04,18046.75,18436.5,17832.5,18336.0,3986676
2024-03-11,17854.75,18256.5,17831.75,18056.0,1749493
2024-03-18,18574.75,18709.0,18053.25,18073.5,3054753
2024-03-25,18475.0,18619.0,18378.5,18567.0,2093584
2024-04-01,18300.75,18612.0,18051.5,18503.0,3375435
2024-04-08,18179.25,18518.75,18053.5,18348.25,3616912
2024-04-15,17180.75,18350.75,17113.25,18151.0,4187722
2024-04-22,17845.75,17901.5,17148.5,17228.25,3363596
2024-04-29,18000.75,18050.25,17386.25,17864.75,3190014
2024-05-06,18255.0,18348.0,17983.75,18047.5,2264002
2024-05-13,18635.25,18760.75,18165.5,18238.0,2610083
2024-05-20,18876.0,19023.25,18621.5,18633.5,2878596
2024-05-27,18591.0,18980.5,18241.25,18874.75,2670443
2024-06-03,19037.75,19155.0,18435.75,18590.25,2997967
2024-06-10,19685.5,19699.5,18974.25,19025.0,2996464
2024-06-17,19747.2890625,20095.0,19640.5,19695.0,1372951
2024-06-24,19927.25,20273.25,19726.0,20014.75,3188566
2024-07-01,20620.75,20639.5,19811.75,19970.0,2256154
2024-07-08,20524.0,20983.75,20335.0,20591.5,3273961
2024-07-15,19713.0,20797.0,19654.0,20580.0,3925874
2024-07-22,19174.5,20084.75,18883.25,19749.0,3793373
2024-07-29,18556.25,19717.0,18385.75,19171.75,3870109
2024-08-05,18616.0,18674.5,17351.0,18390.0,3525188
2024-08-12,19605.75,19683.0,18515.0,18590.0,2502814
2024-08-19,19790.75,20025.25,19525.25,19629.0,2605197
2024-08-26,19623.0,19846.25,19140.25,19787.75,2617278
2024-09-02,18458.25,19683.0,18339.75,19599.0,2592033
2024-09-09,19530.25,19577.25,18386.0,18400.0,3040894
2024-09-16,19808.009765625,19966.25,19299.25,19498.0,1347251
2024-09-23,20221.5,20538.0,19953.0,20040.0,2202512
2024-09-30,20227.25,20331.75,19818.0,20198.5,2735644
2024-10-07,20450.0,20508.25,19902.5,20220.0,2152251
2024-10-14,20483.5,20680.0,20206.25,20432.5,2256770
2024-10-21,20498.75,20707.25,20079.0,20496.25,2600045
2024-10-28,20153.25,20788.5,20008.5,20525.5,2688251
2024-11-04,21231.25,21265.0,20013.0,20138.0,2467792
2024-11-11,20493.75,21340.75,20405.25,21249.75,2754918
2024-11-18,20849.75,20905.75,20382.5,20504.0,2938480
2024-11-25,20993.5,21081.0,20675.0,20935.0,2429829
2024-12-02,21656.75,21669.25,20940.0,20995.25,2262442
2024-12-09,21795.75,21908.0,21352.75,21649.0,2758452
2024-12-16,20947.98046875,22152.5,20745.0,21780.25,1958761
2024-12-23,21698.5,22111.25,21476.75,21566.0,1749519
2024-12-30,21516.5,21742.75,20983.75,21711.0,2161240
2025-01-06,21016.0,21896.75,20874.75,21532.25,2637692
2025-01-13,21594.75,21682.5,20694.0,21027.5,3037794
2025-01-20,21911.25,22093.5,21377.75,21600.0,2764219
2025-01-27,21589.25,21966.0,20763.75,21771.0,3622987
2025-02-03,21590.75,21968.0,20943.0,21200.0,2760536
2025-02-10,22196.25,22225.0,21418.0,21463.25,2330184
2025-02-17,21679.25,22319.75,21652.75,22235.75,2768791
2025-02-24,20919.5,21813.0,20460.5,21700.75,3822618
2025-03-03,20229.75,21121.0,19765.5,21005.25,4101157
2025-03-10,19712.0,20156.5,19139.25,20147.0,3862753
2025-03-17,19450.810546875,19959.25,19397.75,19668.25,1877060
2025-03-24,19457.0,20536.75,19357.5,20050.5,2977749
2025-03-31,17539.0,20044.25,17387.5,19319.75,4562474
2025-04-07,18807.5,19386.75,16460.0,17100.0,4826681
2025-04-14,18380.75,19256.0,18116.25,19225.0,2408843
2025-04-21,19535.25,19589.0,17700.0,18306.25,3024919
2025-04-28,20195.25,20276.75,19103.75,19524.5,2900362
2025-05-05,20136.75,20337.25,19678.75,20181.5,2552044
2025-05-12,21506.0,21529.75,20376.75,20398.5,2641095
2025-05-19,20975.0,21562.25,20727.0,21310.75,2604504
2025-05-26,21376.75,21858.75,20954.25,20978.0,2067991
2025-06-02,21789.5,21935.0,21163.0,21303.75,1732055
2025-06-09,21644.25,22106.0,21471.0,21799.25,2271950
2025-06-16,21889.890625,21999.5,21435.5,21554.0,1159211
2025-06-23,22751.5,22825.5,21566.75,21648.25,2305584
2025-06-30,22906.75,23102.5,22582.0,22751.5,1338211
2025-07-07,22959.0,23112.0,22779.75,22970.0,2262205
2025-07-14,23224.25,23320.75,22803.0,22860.75,2383117
2025-07-21,23421.25,23476.0,23108.0,23232.5,2280653
2025-07-28,22883.75,23845.0,22775.0,23520.0,3044494
2025-08-04,23713.75,23767.75,22821.75,22850.0,2558767
2025-08-11,23804.0,24068.5,23587.5,23764.0,2320003
2025-08-18,23569.75,23881.75,23035.0,23795.0,2687569
2025-08-25,23461.75,23803.75,23371.5,23602.0,1766056
2025-09-01,23684.0,23902.0,23025.25,23479.0,2466840
2025-09-08,24113.25,24159.0,23650.25,23673.5,2323164
2025-09-15,24568.0703125,24575.0,24003.75,24115.25,1360943
2025-09-22,24726.75,25027.25,24422.5,24850.0,2834722
2025-09-29,24992.0,25196.5,24633.25,24726.5,2447304
2025-10-06,24397.0,25394.0,24158.5,25000.0,2840955
2025-10-13,24986.5,25179.5,24410.0,24542.0,3782909
2025-10-20,25509.25,25570.75,24804.75,25065.75,2568903
2025-10-27,26004.0,26399.0,25700.0,25723.5,2708914
2025-11-03,25166.25,26266.0,24709.25,26028.25,2807190
2025-11-10,25094.0,25830.0,24626.0,25320.75,3407876
2025-11-17,24305.5,25361.25,23904.5,25142.25,4295065
2025-11-24,25482.0,25499.75,24361.75,24455.75,2477560
2025-12-01,25732.0,25868.0,25193.25,25482.5,2638669
2025-12-08,25213.5,25870.75,25118.0,25750.0,2835719
2025-12-15,25132.7890625,25410.0,24654.5,25223.5,1450149
2025-12-22,25863.25,25935.25,25608.25,25635.25,1107190
2025-12-29,25385.25,25893.75,25265.25,25863.25,1531803
2026-01-05,25938.25,25996.25,25406.5,25431.75,2405213
2026-01-12,25689.0,26045.5,25420.75,25949.0,2742936
2026-01-19,25738.25,25845.75,25025.0,25471.0,3204402
2026-01-26,25670.0,26349.0,25365.25,25585.5,2802981
2026-02-02,25163.25,26027.75,24239.75,25530.0,3446086
2026-02-09,24803.25,25465.25,24578.75,25153.75,2858154
2026-02-16,25067.5,25139.5,24449.25,24789.75,3112064
2026-02-23,25004.75,25494.75,24668.0,25033.75,2699220
2026-03-02,24670.25,25250.0,24352.0,24682.5,3279711
2026-03-09,24394.25,25217.5,24000.0,24435.25,2924158
2026-03-16,24291.779296875,24989.0,24108.75,24285.0,1426501
2026-03-23,23328.5,24763.0,23232.5,23902.0,2869860
2026-03-30,24129.75,24348.25,22961.5,23189.5,2513635
2026-04-06,25281.25,25393.0,23941.5,24093.5,2609727
2026-04-13,26825.5,26884.75,24904.5,24980.0,2695865
2026-04-20,27435.0,27462.5,26535.0,26599.75,2815243
2026-04-27,27835.75,27917.0,27009.5,27403.25,2776267
2026-05-04,29332.5,29386.75,27613.0,27890.0,2873562
2026-05-11,29231.75,29782.0,28742.0,29294.0,3211836
2026-05-18,29558.75,29749.0,28663.0,29135.0,3285640
2026-05-25,30405.25,30536.0,29676.25,29676.25,2944568
2026-06-01,29026.5,30807.75,28781.25,30415.5,3461814
2026-06-08,29662.0,29848.25,28227.75,28844.5,3939039
2026-06-15,30647.0,30770.75,29616.0,29907.0,1779235
2026-06-22,29368.25,30968.0,29160.5,30577.0,3294957
2026-06-29,29901.75,30599.75,29273.75,29282.5,2842938
2026-07-06,30032.25,30094.0,28909.75,29930.25,2593000
2026-07-13,28773.25,30062.5,28408.25,29952.0,2634957
2026-07-20,28282.25,29364.75,28212.5,28747.75,2684290
2026-07-27,28404.25,28763.25,27201.5,28500.0,3497081
2026-08-03,29834.75,30074.0,28313.5,28565.0,2848384
2026-08-10,30141.75,30283.0,29533.5,29851.25,2127372
2026-08-17,29387.75,30343.0,29202.75,30170.0,2613153
2026-08-24,29491.75,29811.5,28946.75,29392.25,2634423
2026-08-31,29565.25,29704.5,28927.25,29540.0,2479390
2026-09-07,29387.0,29764.75,29040.5,29535.25,2786430
